,name,tensor_util,single_util,double_util,time_%,time_ms,calls,avg_ms
94,volta_sgemm_64x64_nt,0,6,0,14.869603,3.4851300000000003,59387,0.058685
115,"void at::native::vectorized_elementwise_kernel<int=4, at::native::AddFunctor<float>, at::detail::Array<char*, int=3>>(int, float, at::native::AddFunctor<float>)",0,1,0,9.155075,2.145762,581002,0.003693
70,volta_sgemm_128x32_nt,0,7,0,5.73097,1.343222,15629,0.085944
91,volta_sgemm_64x64_nn,0,6,0,4.401147,1.031539,21900,0.047102
73,"void cudnn::winograd_nonfused::winogradForwardFilter4x4<float, __half>(cudnn::winograd_nonfused::WinogradFilterParams<float, __half>)",0,1,0,4.256374,0.997607,71913,0.013872
110,"void cudnn::winograd_nonfused::winogradWgradOutput4x4<float, __half>(cudnn::winograd_nonfused::WinogradWgradOutputParams<float, __half>)",0,1,1,3.7710209999999997,0.88385,43760,0.020197
118,"void cudnn::winograd_nonfused::winogradForwardOutput4x4<float, __half>(cudnn::winograd_nonfused::WinogradOutputParams<float, __half>)",0,3,0,3.744057,0.8775299999999999,71913,0.012202
29,"void cudnn::winograd_nonfused::winogradForwardData4x4<float, __half>(cudnn::winograd_nonfused::WinogradDataParams<float, __half>)",0,2,0,3.408474,0.798876,71913,0.011108
54,volta_fp16_s884cudnn_fp16_128x128_ldg8_splitK_relu_f2f_exp_small_nhwc_tn_v1,3,1,0,3.343614,0.783675,12506,0.062663
83,"void nchwToNhwcKernel<__half, __half, float, bool=1, bool=0, cudnnKernelDataType_t=0>(int, int, int, int, __half const *, __half*, float, float)",0,3,0,2.685866,0.629512,74513,0.008448
84,"void at::native::vectorized_elementwise_kernel<int=4, at::native::MulScalarFunctor<float, float>, at::detail::Array<char*, int=2>>(int, float, float)",0,1,0,2.634764,0.6175350000000001,199876,0.003089
